customer_id,name,email,country,effective_from,effective_to,is_current
1,Noa Kok,noà.kok695@màil.nl,BE,2025-02-08,,1
2,Romy Vos,romy.vos344@mail.nl,UK,2024-12-01,2025-05-27,0
2,Romy Vos,romy.vos344@mail.nl,BE,2025-05-27,,1
3,Taylor Jansen,taylor.jansen57@corp.local,NL,2025-02-19,,1
4,Chris Visser,chris.visser148@retail.co.uk,BE,2025-01-22,,1
5,Lars Bos,lars.bos366@shop.eu,DE,2024-12-20,,1
6,Luuk Peters,luuk.peters310@retail.co.uk,NL,2024-12-19,,1
7,Casey Klein,casey.klein706@shop.eu,BE,2025-01-16,,1
8,Casey Mulder,casey.mulder337@example.com,DE,2025-01-24,,1
9,Drew Visser,drew.visser62@example.com,NL,2024-12-04,2025-05-17,0
9,Drew Visser,drew.visser62@example.com,FR,2025-05-17,,1
10,Kai van Dijk,kai.van.dijk615@example.com,BE,2025-01-25,,1
11,Sanne Klein,sanne.klein569@mail.nl,NL,2025-02-09,,1
12,Eva De Vries,eva.de.vries925@corp.local,BE,2025-02-17,2025-07-01,0
12,Eva De Vries,eva.de.vries925@corp.local,NL,2025-07-01,,1
13,Avery Willems,avery.willems821@example.com,DE,2025-01-08,,1
14,Luuk van Leeuwen,luuk.vàn.lééuwén945@corp.locàl,FR,2024-12-15,,1
15,Milan Meijer,milan.meijer108@shop.eu,DE,2024-11-29,,1
16,Jesse Smit,jesse.smit322@example.com,BE,2025-01-29,,1
17,Taylor Vos,taylor.vos681@retail.co.uk,FR,2024-12-02,,1
18,Finn Meijer,finn.meijer908@corp.local,DE,2025-02-16,,1
19,Eva Smit,eva.smit796@shop.eu,UK,2024-12-23,,1
20,Taylor Jansen,taylor.jansen350@shop.eu,UK,2024-12-28,,1
21,Drew Peters,drew.peters762@shop.eu,NL,2024-12-02,,1
22,Jesse Hendriks,jesse.hendriks821@corp.local,NL,2024-12-21,,1
23,Alex Meijer,alex.meijer109@shop.eu,FR,2025-03-10,,1
24,Sam Kuipers,sam.kuipers929@shop.eu,BE,2024-12-05,2025-08-11,0
24,Sam Kuipers,sam.kuipers929@shop.eu,NL,2025-08-11,,1
25,Casey Mulder,casey.mulder313@retail.co.uk,FR,2025-01-29,,1
26,Jordan Smit,,BE,2024-12-06,,1
27,Jamie Kuipers,jamie.kuipers240@retail.co.uk,UK,2025-03-12,,1
28,Jesse van Leeuwen,jesse.van.leeuwen781@mail.nl,DE,2024-11-25,,1
29,Jamie Peters,jamie.peters947@corp.local,UK,2025-01-11,,1
30,Luuk Maas,luuk.maas182@retail.co.uk,BE,2025-03-12,,1
31,Luuk Klein,luuk.klein116@retail.co.uk,UK,2025-02-27,,1
32,Jesse Visser,jesse.visser795@retail.co.uk,UK,2025-02-18,,1
33,Kai Willems,kài.willéms473@rétàil.co.uk,FR,2024-12-25,,1
34,Jamie Scholten,jamie.scholten684@shop.eu,NL,2025-02-21,,1
35,Sanne Vos,sanne.vos788@retail.co.uk,DE,2025-01-31,,1
36,Lars Bos,lars.bos957@mail.nl,DE,2025-02-24,,1
37,Noa Kuipers,noa.kuipers387@example.com,DE,2025-02-10,,1
38,Taylor De Vries,,BE,2025-01-18,,1
39,Robin Kuipers,,BE,2025-02-02,,1
40,Alex van Leeuwen,alex.van.leeuwen489@mail.nl,UK,2024-12-15,,1
41,Robin Kok,robin.kok829@retail.co.uk,UK,2025-01-22,,1
42,Romy Smit,romy.smit933@corp.local,NL,2024-11-22,2025-06-18,0
42,Romy Smit,romy.smit933@corp.local,FR,2025-06-18,,1
43,Eva van Dijk,eva.van.dijk340@corp.local,UK,2025-03-10,,1
44,Romy Vos,romy.vos225@mail.nl,NL,2025-03-05,,1
45,Chris Willems,chris.willéms842@shop.éu,FR,2025-01-29,,1
46,Finn Peters,finn.peters266@example.com,FR,2025-01-16,,1
47,Romy Kuipers,romy.kuipers798@corp.local,FR,2024-12-31,,1
48,Alex De Vries,alex.de.vries85@retail.co.uk,UK,2025-01-16,,1
49,Sam Peters,sàm.pétérs99@éxàmplé.com,FR,2024-12-22,2025-07-03,0
49,Sam Peters,sàm.pétérs99@éxàmplé.com,BE,2025-07-03,,1
50,Romy van Dijk,romy.vàn.dijk154@màil.nl,UK,2025-01-01,,1
51,Milan De Vries,milàn.dé.vriés762@corp.locàl,UK,2025-03-05,,1
52,Jesse van Dijk,,UK,2025-03-04,,1
53,Sam Mulder,sam.mulder763@shop.eu,FR,2024-12-05,,1
54,Finn Smit,finn.smit887@mail.nl,FR,2025-01-17,,1
55,Luuk Vos,luuk.vos428@retail.co.uk,BE,2025-01-23,,1
56,Lars Visser,lars.visser121@corp.local,DE,2025-01-26,,1
57,Finn Peters,finn.peters306@mail.nl,DE,2025-02-27,,1
58,Jamie De Vries,,FR,2025-02-08,,1
59,Jesse Peters,jesse.peters615@example.com,UK,2025-02-24,,1
60,Casey De Vries,càséy.dé.vriés98@éxàmplé.com,FR,2025-03-03,,1
61,Avery Klein,avery.klein199@shop.eu,NL,2024-12-01,,1
62,Eva van Leeuwen,eva.van.leeuwen319@shop.eu,UK,2025-01-20,,1
63,Noa de Boer,noà.dé.boér66@corp.locàl,FR,2024-12-19,2025-06-17,0
63,Noa de Boer,noà.dé.boér66@corp.locàl,DE,2025-06-17,,1
64,Alex Mulder,alex.mulder202@example.com,DE,2025-03-12,2025-07-29,0
64,Alex Mulder,alex.mulder202@example.com,NL,2025-07-29,,1
65,Avery Mulder,avery.mulder105@example.com,UK,2024-11-19,2025-05-19,0
65,Avery Mulder,avery.mulder105@example.com,NL,2025-05-19,,1
66,Sanne Hendriks,sanne.hendriks826@mail.nl,DE,2025-01-25,2025-06-24,0
66,Sanne Hendriks,sanne.hendriks826@mail.nl,FR,2025-06-24,,1
67,Chris Jansen,chris.jansen419@shop.eu,NL,2024-11-21,2025-05-28,0
67,Chris Jansen,chris.jansen419@shop.eu,BE,2025-05-28,,1
68,Jamie De Vries,jamie.de.vries799@corp.local,NL,2024-12-24,,1
69,Noa Bos,noa.bos345@example.com,BE,2024-12-17,,1
70,Taylor Mulder,taylor.mulder858@corp.local,NL,2024-11-22,,1
71,Romy Bakker,romy.bakker599@mail.nl,NL,2024-12-19,,1
72,Eva Hendriks,eva.hendriks663@retail.co.uk,FR,2024-11-23,,1
73,Romy Kok,romy.kok982@shop.eu,BE,2025-01-06,,1
74,Drew Scholten,,BE,2025-02-16,,1
75,Finn van Leeuwen,finn.van.leeuwen450@shop.eu,NL,2025-01-07,,1
76,Milan Meijer,milan.meijer906@shop.eu,UK,2024-12-09,,1
77,Sanne Mulder,sanne.mulder484@shop.eu,NL,2024-12-10,,1
78,Sanne Kok,sanne.kok756@retail.co.uk,DE,2025-02-28,,1
79,Jamie de Boer,jamie.de.boer847@retail.co.uk,BE,2024-12-24,,1
80,Drew Maas,drew.maas248@mail.nl,DE,2025-01-19,,1
81,Robin Kuipers,robin.kuipers145@mail.nl,DE,2025-02-27,,1
82,Kai Hendriks,kai.hendriks430@corp.local,NL,2025-02-03,,1
