customer_id,name,email,country,effective_from,effective_to,is_current,email_hash
1,Noa Kok,noà.kok695@màil.nl,BE,2025-02-08,,1,1790a593135453d1e4a653e3ba38f0a10f4881d95a9a226ec7de8622881495d2
2,Romy Vos,romy.vos344@mail.nl,UK,2024-12-01,2025-05-27,0,0e762a91c1e8411c5e1ed54b80d584dc05a430b55ce2c33db56610db4c934069
2,Romy Vos,romy.vos344@mail.nl,BE,2025-05-27,,1,0e762a91c1e8411c5e1ed54b80d584dc05a430b55ce2c33db56610db4c934069
3,Taylor Jansen,taylor.jansen57@corp.local,NL,2025-02-19,,1,497c1b9ecb85670fb1f1ecd483bc0cf8705589eb476d290a72d46ac17243a42f
4,Chris Visser,chris.visser148@retail.co.uk,BE,2025-01-22,,1,82a2f65bb01cda6001db29fa74facc2f320e7b4e401789d5a9d387b0edfd6ee1
5,Lars Bos,lars.bos366@shop.eu,DE,2024-12-20,,1,752921a7a50b26d1ca63ce4f76e6aa546b6afa89e2d39c46ea1100524dd01894
6,Luuk Peters,luuk.peters310@retail.co.uk,NL,2024-12-19,,1,bc7d7d2fee827fe1e2d5760a365f1b6fc98f16973fc248fb64fec1c9e78cac51
7,Casey Klein,casey.klein706@shop.eu,BE,2025-01-16,,1,5caffb161a5dc149c11cebf55ecf83c24e3090c620f81ed3fe72ea7184340625
8,Casey Mulder,casey.mulder337@example.com,DE,2025-01-24,,1,1fadbc96b47701e77d9b960ef8c3fe16eed14625e2ead6894c49b75f5d9e3ef2
9,Drew Visser,drew.visser62@example.com,NL,2024-12-04,2025-05-17,0,5c6c88aeb18012dd8ea8f8259edc4b279abe349b73c7a58614de859c263596d0
9,Drew Visser,drew.visser62@example.com,FR,2025-05-17,,1,5c6c88aeb18012dd8ea8f8259edc4b279abe349b73c7a58614de859c263596d0
10,Kai van Dijk,kai.van.dijk615@example.com,BE,2025-01-25,,1,b4bea640461c75ae4b5b74ce6af012842381599e49e7d57676faf73835fd13be
11,Sanne Klein,sanne.klein569@mail.nl,NL,2025-02-09,,1,708a78ee06184297426b03823dcef71d7be4b339112b50bb7b2965247e2d3d5c
12,Eva De Vries,eva.de.vries925@corp.local,BE,2025-02-17,2025-07-01,0,d39839338f634f935367f391789ba65b63d1b7961235c2ceffc907da809c640b
12,Eva De Vries,eva.de.vries925@corp.local,NL,2025-07-01,,1,d39839338f634f935367f391789ba65b63d1b7961235c2ceffc907da809c640b
13,Avery Willems,avery.willems821@example.com,DE,2025-01-08,,1,bde27aae43ac6e24c54b9325ff2e0d160bb8cdd79cd869856c7bf82ec63872a1
14,Luuk van Leeuwen,luuk.vàn.lééuwén945@corp.locàl,FR,2024-12-15,,1,201957ab71755f91d2746d0f75dc7f552598ae8e8bbd72e498a7e13b98f16b4e
15,Milan Meijer,milan.meijer108@shop.eu,DE,2024-11-29,,1,65820e2574dc0d733d8c82b03b711097a567437cbef10b78493b000ce253436b
16,Jesse Smit,jesse.smit322@example.com,BE,2025-01-29,,1,f025821f0174d04168470c6cb9709d1e1c30efd978afeba8331044e532f67b11
17,Taylor Vos,taylor.vos681@retail.co.uk,FR,2024-12-02,,1,18392fb7c8954782bf64bfe00c1238f6990cd5ef022f4523346119679c771890
18,Finn Meijer,finn.meijer908@corp.local,DE,2025-02-16,,1,dd823b0df516490b204f2fd24dae39f7a60a41a354e9e0b8e3d08c8698bcaf6a
19,Eva Smit,eva.smit796@shop.eu,UK,2024-12-23,,1,092d48567ea1bd72bc668bb51846e538ba220f0d07e22283cb22995b5245374d
20,Taylor Jansen,taylor.jansen350@shop.eu,UK,2024-12-28,,1,0689a128b0cd1fa0146f56f59d530dc8b7d584b48df99b7c4ab404c81ead1b74
21,Drew Peters,drew.peters762@shop.eu,NL,2024-12-02,,1,5e86579c00c902b111e291362c4ce8e03401ae3deca8ea59a2b804b35efbf1fc
22,Jesse Hendriks,jesse.hendriks821@corp.local,NL,2024-12-21,,1,8e231eeab0f336751622e343c73b50fac459bc180e6b4a2556307661f53f440a
23,Alex Meijer,alex.meijer109@shop.eu,FR,2025-03-10,,1,a1d5a82af0f5b9fa79a80590db71b8c52eeb00ad1b1e38d8273063f2daed834c
24,Sam Kuipers,sam.kuipers929@shop.eu,BE,2024-12-05,2025-08-11,0,2b9bdffe0d77a20ba365fbc61f24ee92b98b06bf58719e1108fb293ae1557332
24,Sam Kuipers,sam.kuipers929@shop.eu,NL,2025-08-11,,1,2b9bdffe0d77a20ba365fbc61f24ee92b98b06bf58719e1108fb293ae1557332
25,Casey Mulder,casey.mulder313@retail.co.uk,FR,2025-01-29,,1,8ac67a6d1b83e8a43a64594a6a96017c8aea3f09c40dc48e5a9be0b73972f502
26,Jordan Smit,,BE,2024-12-06,,1,
27,Jamie Kuipers,jamie.kuipers240@retail.co.uk,UK,2025-03-12,,1,9e09d93e81686533b44a55c5d2c0b21612343e022c6156abb078ba57b984f741
28,Jesse van Leeuwen,jesse.van.leeuwen781@mail.nl,DE,2024-11-25,,1,c4162f639a507fbb554b808cffa34ef423676593fae15aa6eb37dbf7fd6f1298
29,Jamie Peters,jamie.peters947@corp.local,UK,2025-01-11,,1,4322adc12ceea8360421f21528cc52f3afa18f7cff125a4e0563851c74ebe3cc
30,Luuk Maas,luuk.maas182@retail.co.uk,BE,2025-03-12,,1,402f35def753fe6e765955557b536d0f92bf1969f7f27d8a1676158f24c7314e
31,Luuk Klein,luuk.klein116@retail.co.uk,UK,2025-02-27,,1,1b8e320ec180062c4b2b5e0383bc51a8f8c4b56a9900271945b3fb97da92fc21
32,Jesse Visser,jesse.visser795@retail.co.uk,UK,2025-02-18,,1,3bfc8a654bfb5e58d4bc9847fd1cad37d504ab689c975e65723dae982de939be
33,Kai Willems,kài.willéms473@rétàil.co.uk,FR,2024-12-25,,1,b98b8cfcf229a502d827b4ee829f6c9e7d6bac677d5a1f523eaa2406b527f0bf
34,Jamie Scholten,jamie.scholten684@shop.eu,NL,2025-02-21,,1,2a32112791571c734ca47ec9711114e141ce31ac6be037d09962c8a0c325f459
35,Sanne Vos,sanne.vos788@retail.co.uk,DE,2025-01-31,,1,0bfd10b8537740a63c7b63905e37374710d7d7c20b0a3fc04fcca96fdeb38483
36,Lars Bos,lars.bos957@mail.nl,DE,2025-02-24,,1,d529166ada301dd12a75bb85eff63b5abbe453b119bd8577df1b8cd4e024d78f
37,Noa Kuipers,noa.kuipers387@example.com,DE,2025-02-10,,1,61b0cf74db77679695992b0cbadc449216cb4ea86b508dcedcb9f97712e312f8
38,Taylor De Vries,,BE,2025-01-18,,1,
39,Robin Kuipers,,BE,2025-02-02,,1,
40,Alex van Leeuwen,alex.van.leeuwen489@mail.nl,UK,2024-12-15,,1,8347323ef007efd2947f71fd4f8be83882ca941d86a9cd465d57e69eba1d3a5c
41,Robin Kok,robin.kok829@retail.co.uk,UK,2025-01-22,,1,0537684404c64bb6f5fcfbf1227b88ad9181a7873f6dde83ae9a7f80f0414223
42,Romy Smit,romy.smit933@corp.local,NL,2024-11-22,2025-06-18,0,d12cca3beb23b85c8561e723da0176ecd9979495023715f07dc05ba6f426c499
42,Romy Smit,romy.smit933@corp.local,FR,2025-06-18,,1,d12cca3beb23b85c8561e723da0176ecd9979495023715f07dc05ba6f426c499
43,Eva van Dijk,eva.van.dijk340@corp.local,UK,2025-03-10,,1,c51b4c7e7bc836a0419d54a1cb7ae92718ccafbdd5c1239c768e51b38051be3e
44,Romy Vos,romy.vos225@mail.nl,NL,2025-03-05,,1,644257e2eb9ba475a2208613cdf11f35599155b9779edceef1bc10f79f0bd67a
45,Chris Willems,chris.willéms842@shop.éu,FR,2025-01-29,,1,bdb9457ce9134054885dc0347c9fcd4cc6539d331f6fe0bfde17c017299eed94
46,Finn Peters,finn.peters266@example.com,FR,2025-01-16,,1,08706fb9b7fe46cbdf3a3dd656326de9df2a7f338f412d4391da5714a7d772b1
47,Romy Kuipers,romy.kuipers798@corp.local,FR,2024-12-31,,1,8cc7ea1d79f25ae344544a55a6fead9b50ba547e73b9788e3df7037e43b9d126
48,Alex De Vries,alex.de.vries85@retail.co.uk,UK,2025-01-16,,1,db75d6276ba9d3e02dbd356728a585bec07b4a0c60e7500ef938f1695e03073f
49,Sam Peters,sàm.pétérs99@éxàmplé.com,FR,2024-12-22,2025-07-03,0,9b5ef958163407a24a5b8b9ee19afe76dcb6faf0f090552d0f10ac54c766a5a8
49,Sam Peters,sàm.pétérs99@éxàmplé.com,BE,2025-07-03,,1,9b5ef958163407a24a5b8b9ee19afe76dcb6faf0f090552d0f10ac54c766a5a8
50,Romy van Dijk,romy.vàn.dijk154@màil.nl,UK,2025-01-01,,1,b1731c460c7819f1927b14908a3dfef0fc31f807a489732b68971ff16b938a86
51,Milan De Vries,milàn.dé.vriés762@corp.locàl,UK,2025-03-05,,1,86e3100433c5aefb92d650cfb92398b6b30093e35e76b86dc97592e5fcc98b3b
52,Jesse van Dijk,,UK,2025-03-04,,1,
53,Sam Mulder,sam.mulder763@shop.eu,FR,2024-12-05,,1,5f21449cf42d8670d25c834261a4a2e64a8827f1323d89a57da6222ac352ac4d
54,Finn Smit,finn.smit887@mail.nl,FR,2025-01-17,,1,3008d117d546e99acddeab268b5d4f14f2ba19dc0b75426f8971ff0698623358
55,Luuk Vos,luuk.vos428@retail.co.uk,BE,2025-01-23,,1,2458bbc4c9f03b0390e78be44a06373d45bd83118fa61f6c08fa5efb80fcd039
56,Lars Visser,lars.visser121@corp.local,DE,2025-01-26,,1,f28845b63ce5346a63e2e13302a68866dbbd8873711e24c366187b3b8e7d2ce6
57,Finn Peters,finn.peters306@mail.nl,DE,2025-02-27,,1,3d71c6352bb87f68fbf09b74b2b7b61c736a53693fa277cb0c2ac7e976d20f05
58,Jamie De Vries,,FR,2025-02-08,,1,
59,Jesse Peters,jesse.peters615@example.com,UK,2025-02-24,,1,3465faf63bf5bd0265dda3a3baec870be017dc25f5a5cea7242c6457b3c96d78
60,Casey De Vries,càséy.dé.vriés98@éxàmplé.com,FR,2025-03-03,,1,cd836d321e38a6bd15cb012615fb14d1569da951d37c9aab66ae4d8dad8246b7
61,Avery Klein,avery.klein199@shop.eu,NL,2024-12-01,,1,650bb3c8f57255c4b7d01ec64062108c1e03841d5e703f594394eb98c435f8a2
62,Eva van Leeuwen,eva.van.leeuwen319@shop.eu,UK,2025-01-20,,1,e1d9086030bd21a4a5c4e31e0960f747a2ef58463f0b15fef8752725c152dc9a
63,Noa de Boer,noà.dé.boér66@corp.locàl,FR,2024-12-19,2025-06-17,0,5f3de1f6e3cc3d41fa5b3b51320ddfcb7eeb321f2cbb5df0f4aa4d218e497e84
63,Noa de Boer,noà.dé.boér66@corp.locàl,DE,2025-06-17,,1,5f3de1f6e3cc3d41fa5b3b51320ddfcb7eeb321f2cbb5df0f4aa4d218e497e84
64,Alex Mulder,alex.mulder202@example.com,DE,2025-03-12,2025-07-29,0,9e62031ce1df220ac0301beca10fc1f5257eff05b53a2087a96b295bd8e2168e
64,Alex Mulder,alex.mulder202@example.com,NL,2025-07-29,,1,9e62031ce1df220ac0301beca10fc1f5257eff05b53a2087a96b295bd8e2168e
65,Avery Mulder,avery.mulder105@example.com,UK,2024-11-19,2025-05-19,0,e62a84495d8e17aa530d5ea50db60353ed29b7fb4b6a716c48f440ced808fcf1
65,Avery Mulder,avery.mulder105@example.com,NL,2025-05-19,,1,e62a84495d8e17aa530d5ea50db60353ed29b7fb4b6a716c48f440ced808fcf1
66,Sanne Hendriks,sanne.hendriks826@mail.nl,DE,2025-01-25,2025-06-24,0,5331e56e3c6081320fd5c5b2cda97e5d0095bfa7f1a2fc76b98a062825f09a08
66,Sanne Hendriks,sanne.hendriks826@mail.nl,FR,2025-06-24,,1,5331e56e3c6081320fd5c5b2cda97e5d0095bfa7f1a2fc76b98a062825f09a08
67,Chris Jansen,chris.jansen419@shop.eu,NL,2024-11-21,2025-05-28,0,74f714dc06e3d2b7be09babecee20c682352520527ad64f54775762ac3a67046
67,Chris Jansen,chris.jansen419@shop.eu,BE,2025-05-28,,1,74f714dc06e3d2b7be09babecee20c682352520527ad64f54775762ac3a67046
68,Jamie De Vries,jamie.de.vries799@corp.local,NL,2024-12-24,,1,6b74a23678cfc33aee6aaec89458639c45a58f47ec3e01490eee338b284478f6
